snapshot	board_exact	non_empty_accuracy	macro_f1	move_recall	false_change_rate	status	description
autoresearch/snapshots/20260416T210330Z_lookahead_w2_m10_baseline.py	0.216568	0.863986	0.816552	0.296875	0.018111	keep	Current rectified realplusmanual tracker baseline.
autoresearch/snapshots/20260416T210342Z_lookahead_w2_m10_baseline.py	0.216568	0.863986	0.816552	0.296875	0.018111	keep	Current rectified realplusmanual tracker baseline.
autoresearch/snapshots/20260416T210730Z_lookahead_w2_m10_baseline.py	0.216568	0.863986	0.816552	0.296875	0.018111	keep	Current rectified realplusmanual tracker baseline.
autoresearch/snapshots/20260416T210957Z_lookahead_w2_m10_baseline.py	0.216568	0.863986	0.816552	0.296875	0.018111	keep	Current rectified realplusmanual tracker baseline.
autoresearch/snapshots/20260416T211809Z_lookahead_w3_m8_temporal_tolerance_v1.py	0.091124	0.839543	0.790079	0.281250	0.043984	discard	Lookahead decoder with one extra future frame and a slightly lower move margin to better tolerate transition-frame misses in temporal move-execution ambiguity.
autoresearch/snapshots/20260416T211852Z_lookahead_w3_m10_temporal_tolerance_v2.py	0.093491	0.844142	0.792162	0.296875	0.032342	discard	Lookahead decoder with one extra future frame but baseline move margin, isolating whether more settled context alone helps temporal move-execution ambiguity.
autoresearch/snapshots/20260416T211928Z_lookahead_w2_m9_temporal_tolerance_v3.py	0.101775	0.840008	0.787779	0.343750	0.020699	discard	Lookahead decoder with baseline window but a slightly lower move margin, testing whether a small increase in move sensitivity helps temporal move-execution ambiguity.
autoresearch/snapshots/20260416T212011Z_segmental_sparse_events_baseline_v1.py	0.104142	0.832515	0.797925	0.343750	0.023286	discard	Segmental decoder with the existing conservative sparse-event settings, testing whether piecewise-constant board segments reduce temporal move-execution ambiguity.
autoresearch/snapshots/20260416T212102Z_lookahead_w1_m10_temporal_latency_v4.py	0.099408	0.842075	0.777293	0.093750	0.005175	discard	Lookahead decoder with a one-frame window and baseline margin, testing whether less future smoothing reduces temporal move-execution lag.
autoresearch/snapshots/20260416T212143Z_lookahead_w2_m11_temporal_conservative_v5.py	0.205917	0.856752	0.802252	0.250000	0.014230	discard	Lookahead decoder with the baseline window but a slightly higher move margin, testing whether more conservative move commits reduce temporal ambiguity desyncs.
autoresearch/snapshots/20260416T212228Z_segmental_sparse_events_drop1_v2.py	0.099408	0.832980	0.799181	0.281250	0.021992	discard	Segmental decoder with conservative sparse-event settings plus one worst-frame drop per segment, testing whether suppressing transition frames helps temporal move-execution ambiguity.
autoresearch/snapshots/20260416T212300Z_lookahead_w2_m10p5_temporal_conservative_v6.py	0.211834	0.863728	0.815058	0.281250	0.020699	discard	Lookahead decoder with the baseline window and a slightly higher move margin, testing whether a milder conservative commit threshold helps temporal ambiguity without the larger m11 regression.
autoresearch/snapshots/20260416T212329Z_lookahead_w2_m10p25_temporal_conservative_v7.py	0.211834	0.863780	0.815340	0.281250	0.019405	discard	Lookahead decoder with the baseline window and a very slightly higher move margin, testing whether a smaller conservative shift than m10.5 can reduce temporal ambiguity without losing baseline fit.
autoresearch/snapshots/20260416T212409Z_lookahead_w2_m10p125_temporal_conservative_v8.py	0.213018	0.863831	0.815471	0.281250	0.018111	discard	Lookahead decoder with the baseline window and an even smaller move-margin increase, testing whether a near-baseline conservative shift can trim temporal ambiguity without the m10.25 regression.
autoresearch/snapshots/20260416T212447Z_segmental_sparse_events_sep2_v3.py	0.071006	0.834686	0.804387	0.406250	0.024580	discard	Segmental decoder with conservative sparse-event settings but denser event proposals, testing whether allowing nearby candidate move frames helps temporal move-execution ambiguity.
autoresearch/snapshots/20260416T212529Z_lookahead_w2_m10p0625_temporal_conservative_v9.py	0.213018	0.863831	0.816317	0.281250	0.018111	discard	Lookahead decoder with the baseline window and an ultra-small move-margin increase, testing whether the least-bad conservative direction helps only at a near-baseline threshold.
autoresearch/snapshots/20260416T212846Z_segmental_sparse_events_boardcands1_v5.py	0.169231	0.823575	0.818186	0.453125	0.041397	discard	Segmental decoder with conservative sparse-event settings plus one board-evidence candidate, testing whether missed transition moves can be recovered without denser event proposal search.
autoresearch/snapshots/20260416T212938Z_segmental_sparse_events_boardcands1_m9_v6.py	0.169231	0.823575	0.818186	0.453125	0.041397	discard	Segmental decoder with one board-evidence candidate and a slightly higher move margin, testing whether the recall gain from board-backed transition recovery can be kept while reducing temporal over-commits.
autoresearch/snapshots/20260416T213027Z_segmental_sparse_events_boardcands1_drop1_v7.py	0.169231	0.824505	0.819060	0.453125	0.037516	discard	Segmental decoder with one board-evidence candidate plus one worst-frame drop per segment, testing whether board-backed transition recovery can keep recall while suppressing transition-frame over-commits.
autoresearch/snapshots/20260416T213136Z_segmental_sparse_events_boardcands1_sep5_v8.py	0.169231	0.825849	0.816023	0.437500	0.041397	discard	Segmental decoder with one board-evidence candidate and stricter temporal proposal spacing, testing whether board-backed transition recovery can help temporal ambiguity without nearby over-commits.
autoresearch/snapshots/20260416T213243Z_segmental_sparse_events_boardcands1_thresh3_v9.py	0.169231	0.823575	0.818186	0.453125	0.041397	discard	Segmental decoder with one board-evidence candidate and a higher board-change proposal threshold, testing whether board-backed transition recovery can keep temporal recall while pruning spurious event commits.
autoresearch/snapshots/20260416T213416Z_segmental_sparse_events_boardcands1_m10_v10.py	0.169231	0.829259	0.830260	0.453125	0.034929	discard	Segmental decoder with one board-evidence candidate and a stronger move margin, testing whether board-backed transition recovery can reduce temporal misses without the boardcands1 over-commit rate.
autoresearch/snapshots/20260416T213507Z_segmental_sparse_events_boardcands1_m10_drop1_v11.py	0.169231	0.829259	0.830260	0.453125	0.034929	discard	Segmental decoder with one board-evidence candidate, stronger move margin, and one worst-frame drop, testing whether board-backed transition recovery can keep temporal recall while further suppressing over-commits.
autoresearch/snapshots/20260416T213609Z_segmental_sparse_events_boardcands1_m12_v12.py	0.169231	0.831120	0.830069	0.437500	0.037516	discard	Segmental decoder with one board-evidence candidate and an even stronger move margin, testing whether board-backed transition recovery can keep temporal recall while suppressing more over-commits.
autoresearch/snapshots/20260416T213725Z_segmental_sparse_events_boardcands2_m10_v13.py	0.113609	0.816237	0.813997	0.453125	0.040103	discard	Segmental decoder with two board-evidence candidates and a stronger move margin, testing whether broader board-backed transition recovery can fix temporal ambiguity misses without reopening excessive over-commit search.
autoresearch/snapshots/20260416T213830Z_segmental_sparse_events_boardcands1_m10_beam4_v14.py	0.149112	0.821405	0.816497	0.468750	0.036223	discard	Segmental decoder with one board-evidence candidate, stronger move margin, and a smaller beam, testing whether board-backed transition recovery can reduce temporal misses without letting wrong trajectories persist.
autoresearch/snapshots/20260416T214536Z_segmental_sparse_events_boardcands1_m10_r2_v16.py	0.169231	0.829259	0.830260	0.453125	0.034929	discard	Segmental decoder with one board-evidence candidate, stronger move margin, and a wider event window, testing whether more transition-frame context helps temporal ambiguity without broadening proposal search.
autoresearch/snapshots/20260416T214633Z_segmental_sparse_events_boardcands1_m10_secondarysep2_v17.py	0.169231	0.869257	0.845637	0.484375	0.033635	discard	Segmental decoder with one board-evidence candidate, stronger move margin, and limited nearby secondary proposals, testing whether temporal ambiguity needs close alternate event frames without opening the full sep2 search.
autoresearch/snapshots/20260416T214724Z_segmental_sparse_events_boardcands1_m10_secondarysep2_drop1_v18.py	0.166864	0.853238	0.837761	0.437500	0.031048	discard	Segmental decoder with one board-evidence candidate, stronger move margin, limited nearby secondary proposals, and one worst-frame drop per segment to test whether temporal ambiguity improves when transition frames are downweighted.
autoresearch/snapshots/20260416T214819Z_segmental_sparse_events_boardcands1_m10_secondarysep2_ratio95_v19.py	0.169231	0.829259	0.830260	0.453125	0.033635	discard	Segmental decoder with one board-evidence candidate, stronger move margin, and stricter nearby secondary proposals, testing whether temporal ambiguity benefits from close alternate event frames only when they are nearly as strong.
autoresearch/snapshots/20260416T214912Z_segmental_sparse_events_boardcands1_m12_secondarysep2_v20.py	0.166864	0.851842	0.837229	0.453125	0.031048	discard	Segmental decoder with one board-evidence candidate, limited nearby secondary proposals, and a stronger move margin to test whether the v17 temporal-recall gain can be kept while trimming over-commits.
autoresearch/snapshots/20260416T215012Z_segmental_sparse_events_boardcands1_m12_secondarysep2_v20.py	0.166864	0.851842	0.837229	0.453125	0.031048	discard	Segmental decoder with one board-evidence candidate, limited nearby secondary proposals, and a stronger move margin to test whether the v17 temporal-recall gain can be kept while trimming over-commits.
autoresearch/snapshots/20260416T215103Z_segmental_sparse_events_boardcands1_m10_secondarysep2_r2_v21.py	0.169231	0.869257	0.845637	0.484375	0.033635	discard	Segmental decoder with one board-evidence candidate, limited nearby secondary proposals, and a wider event window to test whether extra transition-frame context improves the strongest temporal-ambiguity branch.
